GEOID,DAC_NAME,DAC_NAMELSAD,Pop16,HH16,MHI16,DAC16,Area_sqmi,FID_GSA_in,Basin_Numb,Basin_Subb,Basin_Name,GSA_Name,Area_sqm_1,Area_sqm_i,PercArea
655842,Parkwood,Parkwood CDP,2227,605,36827,Y,0.697583385,62,5-022,5-022.06,SAN JOAQUIN VALLEY,Madera Irrigation District GSA,209.1040019,0.692052718,0.992071677
670028,Santa Nella,Santa Nella CDP,1965,606,27778,Y,4.560167916,52,5-022,5-022.07,SAN JOAQUIN VALLEY,Central Delta-Mendota GSA,255.8485776,2.523331263,0.553341743
680266,Tranquillity,Tranquillity CDP,724,238,30441,Y,0.617432804,52,5-022,5-022.07,SAN JOAQUIN VALLEY,Central Delta-Mendota GSA,255.8485776,0.617432804,1
619612,Dos Palos,Dos Palos city,5103,1427,36509,Y,1.349185852,35,5-022,5-022.07,SAN JOAQUIN VALLEY,City of Dos Palos GSA,1.202281088,1.184451815,0.877901154
624134,Firebaugh,Firebaugh city,8176,2150,36181,Y,3.572252638,37,5-022,5-022.07,SAN JOAQUIN VALLEY,City of Firebaugh GSA,2.916415689,2.734603468,0.765512338
631568,Gustine,Gustine city,5684,1960,37770,Y,1.550972762,38,5-022,5-022.07,SAN JOAQUIN VALLEY,City of Gustine GSA,1.400600779,1.353719884,0.872819896
644028,Los Banos,Los Banos city,37012,10698,45751,Y,10.11708977,36,5-022,5-022.07,SAN JOAQUIN VALLEY,City of Los Banos GSA,9.028365223,8.750946768,0.8649668
646828,Mendota,Mendota city,11394,2827,26094,Y,3.298867936,49,5-022,5-022.07,SAN JOAQUIN VALLEY,City of Mendota GSA,3.273290209,3.128501896,0.948356211
672954,South Dos Palos,South Dos Palos CDP,2568,605,41992,Y,1.534711435,54,5-022,5-022.07,SAN JOAQUIN VALLEY,County of Merced GSA - Delta-Mendota,73.49371382,0.950991296,0.619654793
670028,Santa Nella,Santa Nella CDP,1965,606,27778,Y,4.560167916,41,5-022,5-022.07,SAN JOAQUIN VALLEY,DM-II GSA,87.15590837,0.768893554,0.168610798
617428,Crows Landing,Crows Landing CDP,255,116,26786,Y,3.175311228,41,5-022,5-022.07,SAN JOAQUIN VALLEY,DM-II GSA,87.15590837,2.42715171,0.764382303
630882,Grayson,Grayson CDP,990,271,29787,Y,0.222960126,53,5-022,5-022.07,SAN JOAQUIN VALLEY,Northwestern Delta-Mendota GSA,75.34500465,0.033245722,0.149110619
619612,Dos Palos,Dos Palos city,5103,1427,36509,Y,1.349185852,39,5-022,5-022.07,SAN JOAQUIN VALLEY,San Joaquin River Exchange Contractors Water Authority GSA,399.1274938,0.139581295,0.103455943
617428,Crows Landing,Crows Landing CDP,255,116,26786,Y,3.175311228,39,5-022,5-022.07,SAN JOAQUIN VALLEY,San Joaquin River Exchange Contractors Water Authority GSA,399.1274938,0.569917776,0.179484068
624134,Firebaugh,Firebaugh city,8176,2150,36181,Y,3.572252638,39,5-022,5-022.07,SAN JOAQUIN VALLEY,San Joaquin River Exchange Contractors Water Authority GSA,399.1274938,0.787944625,0.2205736
